dataset,description,dataset_raw
shootings_2006_present.geojson,"This dataset provides detailed records of shooting incidents that occurred in New York City from January to September 2023. Each incident is documented with a unique key, the date and time of the occurrence, and location information including the borough, precinct, and precise geographic coordinates. The data contains demographic details for both the perpetrator and the victim, such as their age group, sex, and race. An indicator flag also specifies whether the incident resulted in a statistical murder. This dataset is valuable for urban data analysis, enabling research into crime patterns, the spatial and temporal distribution of incidents, and the demographic factors involved in public safety.",5ucz-vwe8.geojson
2011_yellow_taxi_trip_data.geojson,"This dataset provides a detailed log of taxi trips, capturing information about each journey. The records include pickup and drop-off times, trip distance, passenger count, and payment type. It also contains precise pickup and drop-off locations recorded as geographic coordinates. The financial data is comprehensive, with columns for the base fare, MTA tax, tips, tolls, and the total amount. The temporal coverage for these trips spans from January to November 2011. As a rich source of urban data, this dataset is ideal for analyzing transportation patterns, studying demand for taxi services, and understanding urban mobility.",uwyp-dntv.geojson
dycd_program_sites.geojson,"This dataset provides detailed information on community programs in New York City from 2020 to 2022. Each record specifies the program's area, type, service category, provider, and site location. The dataset contains comprehensive location data, including borough, street address, zip code, and precise geocoordinates. Semantically, the data represents social service programs, provider organizations, and their locations across various geographic resolutions like neighborhoods and community districts. This urban data is useful for analyzing the distribution of social services, assessing program accessibility, and understanding community resource allocation across the city.",ebkm-iyma.geojson
dsny_disposal_vendors.geojson,"This dataset provides a directory of waste management and recycling facilities. It contains detailed locational data, including street addresses, cities, zip codes, and precise geocoordinate points for each site. The data semantically identifies each facility by its name and includes property identifiers like the Borough-Block-Lot (BBL) number. Furthermore, the dataset uses boolean flags to specify the types of materials each location processes, such as general refuse, paper, organics, and construction and demolition debris. As a resource for urban data, this information is valuable for logistics planning, waste infrastructure analysis, and environmental studies within the New York metropolitan area.",mf9g-zhbw.geojson
dsny_special_waste_drop_off_sites.geojson,"This dataset provides the locations of DSNY Special Waste Drop-Off Sites across New York City. It contains comprehensive location information for each site, including the street address, city, borough, zip code, and precise point coordinates. The data represents location at multiple levels of spatial granularity, from the borough and community district down to the specific address. Each site is also described by its name and unique identifiers. This urban dataset is valuable for analyzing the distribution and accessibility of public waste services, or for applications that help residents locate nearby facilities.",242c-ru4i.geojson
parks_closure_status_due_to_covid_19_dog_runs.geojson,"This dataset tracks the status of dog parks, primarily focusing on their closure and reopening dates. It contains various property identifiers like `gispropnum` and `omppropid`, along with location details such as the borough, park district, and the specific name of the dog run. The dataset is geographically rich, featuring polygon data that outlines the precise boundaries of each park area. It also includes key temporal information, with columns indicating approximate closure dates in April 2020 and reopening dates in early July 2020. As an urban dataset, it can be used to analyze the management of public recreational facilities and their availability to residents over time.",wswf-9pts.geojson
2009_yellow_taxi_trip_data.geojson,"This dataset contains detailed records of individual taxi trips from 2009. It includes information such as pickup and dropoff timestamps, trip distances, and the number of passengers, which ranges from zero to five. The dataset also provides comprehensive financial details for each trip, including the fare, taxes, tolls, tips, and the total amount paid, with payments made using one of six different methods. Spanning the year 2009, the data features precise pickup and dropoff locations identified by latitude and longitude coordinates. As a rich source of urban data, this dataset is useful for analyzing urban mobility patterns and understanding taxi usage trends.",f9tw-8p66.geojson
real_time_passenger_information_sign_locations.geojson,"This dataset contains detailed information about bus stops across New York City's five boroughs. It provides geographic data including borough names, neighborhood classifications, and precise latitude and longitude coordinates for each stop. The dataset features unique identifiers for bus stops, routes, and various administrative divisions like council and congressional districts. Spatially, the information ranges from specific point locations to broader borough boundaries, while temporal data includes release and completion dates for projects between 2018 and 2021. This dataset is ideal for urban data analysis, enabling studies on public transit accessibility, the distribution of services, and the relationship between bus stop infrastructure and FEMA flood zones.",g9jx-npbk.geojson
local_law_8_of_2020_complaints_of_illegal_parking_of_vehicles_operated_on_behalf_of_the_city.geojson,"This dataset contains records of illegal parking complaints submitted to the New York City Police Department (NYPD). Each entry represents a unique complaint and provides details on the specific violation, such as parking in front of a fire hydrant, in a bus lane, or on the sidewalk. The data includes rich temporal information, with timestamps for complaint creation and closure covering the period from February 2020 to December 2023. It also features extensive geographic data for each incident, including the address, borough, city, and precise latitude and longitude coordinates. This dataset is valuable for urban analysis, allowing for studies on parking violation patterns and police response effectiveness.",cwy2-px8b.geojson
parks_closure_status_due_to_covid_19_athletic_facilities.geojson,"This dataset provides detailed information on recreational sports facilities, such as basketball courts and softball fields, within various city boroughs. It contains textual and geographic data across 24 columns, including the primary sport played, surface type, closure method, and current operational status. The dataset includes spatial information like park district and polygon coordinates, alongside temporal data pinpointing when facilities were closed and reopened between March and August 2020. This information is valuable for urban planning and public resource management, enabling analysis of recreational space accessibility and the impact of city-wide events on public parks.",g3xg-qtbc.geojson
food_scrap_drop_off_locations_in_nyc.geojson,"This dataset provides a comprehensive list of food scrap drop-off sites located throughout New York City. For each location, the dataset includes the site name, specific address, operating hours, and the months it is open. It also identifies the hosting organization, such as the Department of Sanitation or local community gardens. The data is geographically rich, containing latitude and longitude coordinates, as well as borough, neighborhood, council district, and census tract information. As a valuable urban dataset, it is useful for analyzing the accessibility of composting services, planning new site locations, and developing applications to help residents find nearby drop-off points.",if26-z6xq.geojson
in_service_alarm_box_locations.geojson,"This dataset contains the geographic locations of service boxes across New York City. Each entry is identified by a unique `borobox` ID and is categorized by one of two box types. The data provides precise geospatial information, including latitude, longitude, and point coordinates for mapping. Furthermore, it details administrative and geographic boundaries by providing the street intersection, borough, ZIP code, community district, and city council district for each box location. This rich, multi-level spatial data is ideal for urban data analysis. Researchers and city planners can use this dataset for infrastructure management, logistical planning, and analyzing the spatial distribution of city services.",v57i-gtxb.geojson
dob_now_certificate_of_occupancy.geojson,"This dataset provides detailed records of Certificates of Occupancy (C of O) issued for construction projects across New York City's boroughs. It contains project information, including job types such as new buildings or alterations, and various administrative identifiers like application numbers and building identification numbers. The records span from April 2021 to December 2023, capturing both submission and issuance dates. The dataset is rich in spatial data, with location details at multiple levels, including street address, zip code, community district, and precise geographic coordinates. This urban data is valuable for analyzing construction trends, tracking real estate development, and supporting urban planning initiatives.",pkdm-hqz6.geojson
street_and_highway_capital_reconstruction_projects_block.geojson,"This dataset provides detailed information on capital projects across New York City's boroughs. It contains geographic locations, project identifiers, titles, descriptions, and financial data such as project costs and funding. The dataset also specifies the lead and managing agencies for each initiative. It offers a timeline for these projects, with design start dates ranging from 2000 to 2025 and construction schedules spanning from 2013 to 2033. Attributes further detail project status and scope, covering aspects of civil engineering and public works. This resource is valuable for urban data analysis, enabling users to track infrastructure development, monitor budgets, and evaluate city-led projects.",jvk9-k4re.geojson
2017_2018_schools_nypd_crime_data_report.geojson,"This dataset provides a comprehensive directory of school buildings located throughout New York City's five boroughs. It contains various identifiers for educational facilities, such as building codes, district borough numbers (DBN), location names, and street addresses. The data also includes statistics related to safety and incidents, detailing the number of property crimes, violent incidents, and other non-criminal events for each location. With precise geocoded coordinates for each building, this dataset is highly suitable for urban data analysis. It can be used to map school distributions, analyze the relationship between school locations and safety metrics, or inform urban planning initiatives.",kwvk-z7i9.geojson
forestry_work_orders.geojson,"This dataset provides detailed records of tree maintenance work orders across New York City's boroughs. It tracks various tasks such as tree planting, pruning, and removal, containing many unique identifiers for work orders, inspections, and locations. The dataset has a rich semantic profile, capturing a complete timeline for each task, from its creation date to its actual completion. It includes extensive geospatial data, with fields for borough, zip code, neighborhood, street address, and precise lat-long coordinates. This resource is valuable for urban data analysis, enabling research into the efficiency of public works, urban forestry management, and resource allocation for city maintenance programs.",bdjm-n7q4.geojson
street_closures_due_to_construction_activities_by_intersection.geojson,"This dataset provides detailed information about permitted street work occurring in various New York City boroughs. It contains geographic data, including precise point coordinates, street names, and borough codes, to identify the location of each project. The dataset features temporal information, with work start dates covering late 2023 and end dates extending into early 2024. The purpose for each work permit is also specified, detailing activities like paving, utility installations, and major reconstructions. As a source of urban data, this dataset is valuable for analyzing traffic disruptions, managing infrastructure projects, and understanding patterns of street maintenance across the city.",478a-yykk.geojson
nyc_parks_spray_showers.geojson,"This dataset provides a comprehensive inventory of park and playground locations within New York City. Each record includes unique identifiers for the system and property, along with the property name and specific site name. The dataset contains rich spatial information, with columns representing locations at various resolutions, including borough, district, council district, and precise geographic point coordinates. This urban data is valuable for analyzing the distribution of public recreational facilities across different neighborhoods. It can support applications for city planning, resource management, and helping residents locate nearby parks and playgrounds with spray showers.",ckaz-6gaa.geojson
holiday_construction_embargo_intersection.geojson,"This dataset maps street intersections, providing precise geocoordinates for each location. Every record includes the names of the two intersecting streets, a unique integer identifier, and a single-letter code to identify the borough. The data contains several spatial features, including location coordinates, street names, and borough codes, which can be used as identifiers or aggregation keys for analysis. As a rich source of urban data, this dataset is highly suitable for applications such as urban planning, traffic flow analysis, developing navigation tools, or conducting other geospatial studies of city infrastructure.",jr6f-nsuv.geojson
parks_closure_status_due_to_covid_19_playgrounds.geojson,"This dataset provides detailed information on the operational status of over 980 playgrounds across the five boroughs of New York City. It details each site's status, closure type, and accessibility level, along with specific rules for adult supervision. The dataset includes rich spatial information, ranging from administrative divisions like community boards to precise point geocoordinates. Temporally, the data captures the widespread closure of playgrounds around March 31, 2020, and their subsequent reopening through June 2020. As a resource for urban data analysis, this dataset can be used to study the city's reopening of public amenities, analyze the distribution of accessible recreational spaces, and inform planning for public health events.",a4qt-mpr5.geojson
tlc_approved_labcorp_patient_services_drug_test_locations.geojson,"This dataset provides a comprehensive list of drug testing locations, primarily in New York and New Jersey. Each entry contains detailed address information, including street, city, state, and postcode. The data is rich with geospatial details, offering not only latitude and longitude coordinates but also specific administrative and demographic identifiers such as borough, council district, census tract, and Neighborhood Tabulation Area (NTA). All information is current as of December 28, 2023. This urban dataset is ideal for public health analysis, allowing users to map the distribution of testing facilities and assess service accessibility across different communities for resource planning.",pe54-wf39.geojson
street_pothole_work_orders_closed_dataset.geojson,"This dataset details reports of street defects, such as potholes, across New York City. It provides temporal information with report opening and closing dates spanning from 2010 to 2023. Each entry includes geographic data, featuring multi-line geometries that pinpoint the defect's location. The specific location is further described by the primary street, cross-streets, and borough. Additional fields serve as unique identifiers for the report, its source, and the length of the affected area. This urban dataset is valuable for analyzing infrastructure issues, tracking repair timelines, and informing municipal maintenance planning and resource allocation.",x9wy-ing4.geojson
2018_2019_school_locations.geojson,"This dataset provides a comprehensive directory of schools for the 2019 fiscal year. It includes key details for each institution such as its name, address, school type, and the grade levels it serves. The dataset contains rich geospatial information, including precise coordinates, street addresses, and administrative boundaries like community districts, council districts, and census tracts. Key fields represent temporal data, such as school opening dates dating back to 1897, and identify entities like the school's principal and management organization. As a source of urban data, this directory is useful for analyzing the distribution of educational facilities, supporting city planning, and conducting demographic research on educational access.",9ck8-hj3u.geojson
2019_2020_school_point_locations.geojson,"This dataset provides a comprehensive directory of schools located in New York City. It includes detailed information for each educational institution, such as the school's name, full street address, borough, and precise geographic coordinates. The dataset is rich in identifiers, containing various administrative codes like the Building Identification Number (BIN) and Borough-Block-Lot (BBL) for real estate parcels. Key fields semantically represent educational institutions, location points of interest, and multiple spatial features for mapping. As a resource for urban data analysis, this dataset is useful for studying the spatial distribution of schools, planning resource allocation, or researching educational accessibility across different districts.",a3nt-yts4.geojson
nypd_criminal_court_summons_incident_level_data_year_to_date.geojson,"This dataset contains records of criminal summonses issued in New York City. Each record includes a unique summons key, the date of the summons, a description of the offense, and the relevant law section. The dataset provides demographic information about the individuals summoned, including age group, sex, and race. It also details the location of the occurrence by borough, precinct, and precise geographic coordinates like latitude and longitude. The temporal data covers events from January to September 2023. As a source of urban data, this dataset can be used to analyze law enforcement patterns, study the geographic distribution of offenses, and explore demographic trends related to summonses.",mv4k-y93f.geojson
forestry_tree_points.geojson,"This dataset provides a detailed inventory of urban trees, documenting their physical and environmental characteristics. Each record contains the tree's species, its diameter at breast height (dbh), stump diameter, and assessments of its structure and condition. The dataset includes precise point coordinates for each tree's geographic location. It also captures temporal information, with record creation dates from 2015-2016 and subsequent updates and risk rating dates extending to late 2023. This rich information supports applications in urban forestry, environmental science, and the strategic planning of urban green spaces. Please note that data for the original planting date is not provided.",hn5i-inap.geojson
canine_waste_dispensers.geojson,"This dataset provides a comprehensive inventory of dog waste bag dispensers located within New York City parks. Each record includes details such as the park name, dispenser manufacturer, mounting surface, and specific location information, including precise geocoordinates. The dataset's temporal coverage spans installation dates from late 2017 to late 2018. It contains rich spatial data at various resolutions, from borough and community board down to the exact property parcel. As a valuable resource for urban data analysis, this dataset can be used to study the distribution of public amenities, inform park maintenance logistics, and support resource allocation decisions.",5npv-j6gn.geojson
forestry_inspections.geojson,"This dataset contains records of tree inspections, detailing the condition and characteristics of urban trees and their surroundings. It includes over 500,000 unique inspection entries, with attributes like inspection type, status, tree condition, and tree diameter. The data provides various ratings related to tree health, location suitability, clearance, and damage to sidewalks and flagstones. Each record includes precise geographic coordinates and is timestamped with creation, inspection, and closing dates spanning from 2015 to 2019. This dataset is useful for urban forestry management, assessing the impact of trees on infrastructure, and planning city-wide maintenance activities.",4pt5-3vv4.geojson
overhead_electronic_signs.geojson,"This dataset contains the locations and attributes of Variable Message Signs (VMS) across New York City's five boroughs. Each entry provides detailed location information, including the main roadway, cross street, and precise latitude and longitude coordinates. The dataset also categorizes each sign by type, such as gantry or portable, and identifies its owner, like the NYC or NYS Department of Transportation. Furthermore, it includes administrative and environmental data, with fields for political districts, FEMA flood zones, and hurricane evacuation zones. This urban dataset is useful for transportation management, infrastructure planning, and emergency response analysis.",yhdx-itry.geojson
tlc_authorized_wheelchair_passenger_assistance_training_providers.geojson,"This dataset provides a comprehensive directory of driving schools located within New York City. Each entry contains the school's name, full address, and contact information, including a contact person, phone number, email, and website. The dataset is enriched with detailed geographic data, offering not only latitude and longitude coordinates but also various administrative and property identifiers like borough, community board, census tract, and the building's BIN and BBL numbers. These fields represent organizations, locations, and contact details, with all information current as of December 2023. This dataset is ideal for urban data analysis, such as mapping the distribution of these schools or studying business locations in relation to neighborhood demographics.",ayeb-p4mv.geojson
2012_yellow_taxi_trip_data.geojson,"This dataset contains records of taxi trips taken in 2012, offering a detailed view of urban transportation. Each entry documents a single trip from one of two vendors, including pickup and dropoff times, passenger count, trip distance, and geocoordinate locations. The data also provides a full breakdown of the financial transaction, covering the fare, taxes, tolls, tips, and total amount paid. Semantically, these columns represent trip events, passenger details, payment methods, and specific locations. This dataset is well-suited for analyzing urban mobility, examining travel patterns, and understanding taxi usage trends throughout the year.",kerk-3eby.geojson
seating_locations.geojson,"This dataset provides a comprehensive inventory of public street seats across the five boroughs of New York City. Each entry includes the precise geographic coordinates, borough, neighborhood, and street address for a specific seating asset. The records detail the type of seat, such as backed, backless, or a leaning bar, along with its installation date, covering a period from 2012 to 2023. Additionally, the dataset contains information on administrative boundaries like council districts and environmental risk factors, including FEMA flood zones. This urban data is valuable for analyzing the distribution of public amenities, planning city infrastructure, and assessing asset placement in relation to environmental hazards.",esmy-s8q5.geojson
nypd_arrest_data_year_to_date.geojson,"This dataset contains over 170,000 unique arrest records from New York City. Each record provides detailed information about the arrest event, including the date, a description of the offense, and the specific law code violated. It also includes demographic information about the individual arrested, such as their age group, sex, and race.

The data provides both temporal and spatial context, covering arrests from January to September 2023. Geographic details are available at multiple levels, including the arrest borough, police precinct, and precise latitude and longitude coordinates. This rich urban dataset can be used to analyze crime trends over time, study the spatial distribution of different types of offenses, and explore demographic patterns in law enforcement activities across the city.",uip8-fykc.geojson
moving_violation_b_summons_historic.geojson,"This dataset provides detailed records of traffic violations, with each entry containing the date, time, location, vehicle category, and the specific law code for the violation. The data includes several hundred unique violation codes and categorizes vehicles into six distinct types, including cars, bikes, and trucks. Spanning from January to December 2021, the dataset offers robust temporal information for analysis. It also contains precise geographic data for each violation, such as latitude, longitude, and point coordinates. As a rich source of urban data, it is useful for analyzing traffic patterns, studying the frequency of different violations, and informing urban planning.",bme5-7ty4.geojson
dcas_managed_public_buildings.geojson,"This dataset contains information about court and non-court buildings across the boroughs of New York City. It includes property details such as the address, building name, total square footage, and the square footage allocated for court use. The dataset provides comprehensive location information at various levels of granularity, including geographic coordinates, postcodes, community boards, census tracts, and property-specific identifiers like the Borough-Block-Lot (BBL) number. This rich urban data is useful for analyzing the distribution of public facilities, conducting real estate assessments, and supporting urban planning initiatives throughout the city.",xx2p-4jnq.geojson
protected_streets_map_block_dataset.geojson,"This dataset provides geospatial information on street segments within the five boroughs of New York City. Each record represents a specific street segment, defined by its name and the intersecting streets at its start and end points. The dataset contains geographic coordinates for each segment, represented as multi-line strings, along with unique identifiers. It includes temporal data that marks a start date, with coverage from 2019 to 2023, and a corresponding end date from 2024 to 2028. As a source of urban data, this dataset is valuable for city planning, infrastructure management, and analyzing the evolution of the city's street network.",wyih-3nzf.geojson
historic_districts.geojson,"This dataset provides geographic and administrative details for designated areas, such as historic districts, across five distinct boroughs. Each record includes a unique landmark identifier, the area name, and its corresponding multi-polygon geometry, along with measurements for shape area and length. The dataset contains rich temporal information, including designation dates from 1966 to 2022 and other key calendar dates related to public hearings and administrative actions. As a resource for urban data, it is valuable for planners, historians, and researchers analyzing land use, studying historical preservation, or tracking the development patterns of designated zones over time.",skyk-mpzq.geojson
nypd_arrests_data_historic.geojson,"This dataset provides detailed records of arrests. Each entry contains a unique identifier for the arrest, the date of the event, and specific codes and descriptions for the offense, including the relevant legal code and category (e.g., felony, misdemeanor). The data also captures demographic information about the perpetrator, such as age group, sex, and race. Spatially, the dataset includes the arrest borough, precinct, and precise geographic coordinates. Covering events from early 2019 to late 2021, this urban dataset is ideal for analyzing crime trends, mapping law enforcement activity, and studying the relationship between demographics and offenses across different areas.",8h9b-rp9u.geojson
forestry_planting_spaces.geojson,"This dataset provides a comprehensive inventory of potential planting locations across New York City's five boroughs. Each record details a site with specific addresses, including street and building numbers, cross streets, and zip codes. Key attributes include the dimensions of the planting space and its status, such as 'Populated' or 'Empty'. The records are enriched with extensive administrative and political boundary data, like community boards, city council districts, and census tracts. With information created as early as 2015 and updated as recently as 2023, this dataset is ideal for urban planning, environmental analysis, and managing municipal greening initiatives.",82zj-84is.geojson
nyc_veteran_owned_businesses.geojson,"This dataset provides a comprehensive directory of certified businesses located throughout New York City. It contains detailed records for over 300 unique organizations, including their name, service category, and contact information like phone number, email, and website. The dataset offers rich location data for each business, encompassing street address, borough, zip code, neighborhood tabulation area (NTA), and precise geographic coordinates. A key feature is the inclusion of various government certifications, such as Minority-Owned Business Enterprise (MBE) and Service-Disabled Veteran-Owned Business (SDVOSB). This information is valuable for urban economic analysis, studying the spatial distribution of diverse businesses, and facilitating procurement from certified vendors across the city.",ybdk-jmnn.geojson
dsny_litter_basket_inventory.geojson,"This dataset provides detailed location information for litter baskets within a city. It contains unique identifiers for each basket, along with attributes such as basket type, owner type, and its directional placement at an intersection. Geographic information is captured through street names, location descriptions, and precise geocoordinates in both point and state plane formats. The data offers rich spatial context at various resolutions, including specific coordinates, street intersections, and administrative sections. As a source of urban data, this dataset is useful for optimizing sanitation services, planning public infrastructure, and analyzing the distribution of public amenities across different neighborhoods.",8znf-7b2c.geojson
nypd_complaint_data_current_year_to_date.geojson,"This dataset provides detailed records of criminal complaints filed in New York City. Each entry documents the specific offense, categorized by level such as felony or misdemeanor, along with the date and time of the incident. It contains rich spatial information, including the borough, precinct, and specific latitude and longitude coordinates of where the complaint occurred. The dataset also includes demographic details for both victims and suspects, such as age group, race, and sex. Spanning from late 2022 to September 2023, this urban data can be used to analyze crime patterns, study public safety trends, and inform policy decisions.",5uac-w243.geojson
NYC_housing_units.geojson,"This dataset provides annual counts of housing units for New York City sub-borough areas from 2005 through 2023 (2020 values are missing). Each row identifies a Sub-Borough Area and includes an Official_SBA_name, a numeric bor_subb code, and a MultiPolygon geometry suitable for mapping. short_name is a categorical identifier and long_name labels the metric (housing units). Year columns are integer time-series measurements that support trend analysis. The geometry and bor_subb code enable spatial joins, mapping, and boundary-based aggregation. As urban data, the table can be used for analyzing housing growth, comparing neighborhoods, informing planning and resource allocation, and supporting demographic or GIS studies.",7kqm-p184.geojson
NYC_HVI.geojson,"This dataset contains 178 ZCTA-level records (MODZCTA) with population estimates (pop_est, range 0–106,717) and a Heat Vulnerability Index (HVI, integer values 0–5). Geometry fields (the_geom and geometry) provide MultiPolygon shapes for each ZIP Code Tabulation Area (ZCTA 2020), suitable for mapping and spatial analysis. MODZCTA, ZCTA and label act as area identifiers and aggregation keys for spatial joins, filtering and grouping. The HVI is a climate and public-health score useful for risk assessment, ranking and targeting interventions. As urban data, the dataset can support mapping heat vulnerability, urban planning, emergency response, resource allocation and demographic analyses.",2ztn-w637.geojson
NYC_pedestrian_counts.geojson,"This dataset contains point-level geocoordinates and associated pedestrian or traffic count records for New York City locations. Each record includes an OBJECTID (primary key), a borough label, street name plus from/to street fields, a binary Iex flag, start_date and end_date timestamps, and a numeric count. the_geom and geometry store point coordinates (longitude, latitude). Temporal coverage runs from 2007-05-01 to 2025-05-01 at hourly resolution; counts range from 0 to 12,215 and OBJECTID values span roughly 0–112. The semantic profile makes these fields suitable for spatial indexing, mapping, geocoding and time-based aggregation. Typical uses include mapping and visualizing pedestrian/traffic flows, comparing volumes by borough or street, performing spatial joins with other urban datasets, and supporting routing, infrastructure planning, and time-series analyses. The Iex flag and address components enable categorical filtering and grouping.",9rle-x521.geojson
NYC_vehicle_collisions_crashes.geojson,"This dataset contains detailed records of urban traffic crashes, with fields for crash date and time, borough and ZIP code, latitude/longitude and point geometry, on/off/cross street names, counts of injured and killed (persons, pedestrians, cyclists, motorists), contributing factors for up to five vehicles, vehicle type codes, and a unique collision_id. Temporal coverage runs from 2012-09-06 to 2025-09-25 (date resolution: day; time resolution: minute). Latitude/longitude and geometry are provided for mapping, spatial joins and proximity calculations. Borough and ZIP fields support administrative and postal aggregation; contributing factors and vehicle types are categorical features useful for grouping or predictive models, and collision_id serves as a primary key. The dataset is well suited to urban analyses such as trend and time-of-day studies, hotspot mapping, severity aggregation by area, road safety research, and building models for transportation planning and traffic-safety interventions.",4vub-j903.geojson
NYC_automated_traffic_volume_counts.geojson,"This dataset provides point-level urban measurements tied to requests and street segments across New York City boroughs. RequestID is an integer primary key useful for joins and aggregation, and SegmentID serves as a segment-level grouping identifier. The spatial columns WktGeom and geometry store point coordinates for mapping, spatial indexing, and proximity joins, while street, fromSt, and toSt give street-level context suitable for geocoding and routing. Boro provides borough-resolution location that can be used as a spatial filter or aggregation key. Year, month, day, hour and minute fields enable time-series and peak-hour analyses, and Direction and Vol support segmentation and numeric volume aggregation. The dataset is well suited for traffic and transportation analysis, routing and infrastructure planning, hotspot detection, and broader urban mobility and planning research.",8hca-m742.geojson
NYC_Issued_Licenses.geojson,"This dataset lists licensed businesses and their locations in an urban environment, including license identifiers (10479 unique License Number values) and business IDs (10094 unique Business Unique ID values), business names, DBA names, categories (37 types), license types and status. Address components (building number, street, apt/suite) plus latitude, longitude and point geometry are provided for geocoding and mapping. Temporal coverage spans initial issuance dates from 1997-03-20 to 2025-10-09 and expiration dates from 2022-12-30 to 2027-12-30. License Number and Business Unique ID are suitable as join keys; other fields support filtering, compliance monitoring, neighborhood-level analysis, urban planning, market research and spatial queries.",1yod-q658.geojson
NYC_poverty_rate.geojson,"This dataset provides neighborhood (Sub-Borough Area) poverty rates (pop_pov_pct) for New York City from 2000 through 2023 (note: 2020 is missing). Values are floats representing proportions (range approximately 0–0.52). Sub-Borough Area and Official_SBA_name give neighborhood labels (55 unique values) and bor_subb provides borough codes; geometry contains MultiPolygon geoshapes for mapping. short_name and long_name are metadata identifiers for the indicator. The semantic profile shows annual columns are time-series measurements useful for trend analysis, ranking, and comparison, while the geographic columns support spatial grouping, mapping, and spatial joins. As urban data, this dataset can be used for mapping poverty patterns, targeting interventions, planning services, and evaluating neighborhood-level policy impacts.",5h9s-2g4c.geojson
NYC_bicycle_counts.geojson,"This dataset contains time-stamped pedestrian and bicycle counts tied to street-level locations, with point geometries (latitude/longitude and WKT) for mapping and spatial analysis. Each row has unique identifiers (countid and id), a date field with hourly resolution spanning 2013-12-21 to 2025-07-03, a numeric counts value (0–158) and a status flag (two values, e.g., 0 and 4). The name field labels specific infrastructure such as bridges, paths, and streets. Longitude and latitude coordinates cover the urban study area (longitudes to about -74.0041 and latitudes up to about 40.8422). Geom_wkt and geometry are provided as point geometries suitable for GIS joins and visualization. This urban dataset is useful for mobility and transportation planning, time series analysis of pedestrian and bicycle flows, site comparisons, seasonal and diurnal pattern detection, and spatial routing or proximity studies.",9h6s-2g4c.geojson
NYC_unemployment_rate.geojson,"This dataset provides annual unemployment rates by Sub-Borough Area (neighborhood-level) from 2000 through 2023, covering 55 sub-borough areas. The year columns are numeric floats (values roughly between 0 and 0.24 depending on year) with 2020 missing in this sample. short_name is a variable identifier (metric code) and long_name describes the indicator (""Unemployment rate""), while Official_SBA_name and bor_subb supply human-readable and numeric neighborhood identifiers. The geometry column contains multipolygon shapes for mapping and spatial joins. Semantically, the table combines temporal measurements (yearly rates) with spatial keys (neighborhood names, codes, and geometries). This urban dataset is suitable for trend analysis, spatial inequality mapping, policy evaluation, resource targeting, and geospatial modeling.",uawg-n271.geojson
NYC_population.geojson,"This dataset provides annual population counts by Sub-Borough Area (neighborhood/community district) for 2000–2023, with 2020 missing, and includes MultiPolygon boundary geometry for each area. Columns include short_name (variable identifier), long_name (metric descriptor), Sub-Borough Area and Official_SBA_name (area names), bor_subb (numeric area code) and year columns containing integer counts. Year columns are time-series measures with values reaching up to roughly 265,000 in some areas. The geometry column contains multi-polygon boundaries suitable for mapping and spatial joins (high confidence). The Sub-Borough Area field is a neighborhood-level geographic key and bor_subb is provided as a join/aggregation code. Semantically the table is organized for aggregation, filtering and spatial grouping, making it useful for demographic trend analysis, urban planning, transportation modeling, service allocation, equity assessments and map visualizations.",yodf-k658.geojson
NYPD_arrests_data.geojson,"This dataset contains arrest records with ARREST_KEY as the unique identifier and ARREST_DATE (day resolution) spanning 2006-04-12 to 2024-11-18. It includes offense codes and descriptions (PD_CD, PD_DESC, KY_CD, OFNS_DESC, LAW_CODE, LAW_CAT_CD) that can be used for grouping, filtering and reporting, plus demographic attributes (AGE_GROUP, PERP_SEX, PERP_RACE). Spatial fields include projected X/Y coordinates, Latitude and Longitude and point geometries (Lon_Lat, geometry) along with ARREST_BORO and ARREST_PRECINCT, making the data ready for mapping, spatial joins and proximity analyses. The dataset is well suited to urban data uses such as time-series crime trend analysis, hotspot mapping, predictive modeling, resource allocation and policy evaluation. Demographic fields are sensitive and should be handled ethically and in compliance with privacy requirements.",mhrs-p190.geojson
NYC_air_pollution.geojson,"This dataset links borough/community district polygons to annual transportation and air quality metrics for New York City neighborhoods. BoroCd is an integer aggregation key (47 unique values) and the_geom/geometry are high-confidence MultiPolygon geoshapes suitable for mapping and spatial joins. Annual vehicle miles traveled (total, cars, trucks) and pollutant concentrations (PM2.5, NO2, O3) are numeric; VMT values range up to about 73.6 and PM2.5, NO2 and O3 reach up to about 14.1, 34.5 and 35.9 respectively. Outdoor Air Toxics - Benzene and Formaldehyde are missing in this profile. Temporal coverage is quarterly from 2008-11-30 to 2022-11-30, with Start_Date usable as a time-series index. The data are useful for urban planning, traffic and emissions modeling, exposure assessment, policy evaluation, and map-based visualizations.",bclm-y564.geojson
nyc-zip-code-tabulation-areas-polygons.geojson,"This dataset provides detailed geographic information about ZIP Code Tabulation Areas (ZCTAs) in New York City. Each record includes a unique identifier for the ZCTA, the ZIP code itself, and the borough it belongs to. The dataset contains rich spatial data, with fields for both latitude and longitude coordinates as well as a MultiPolygon geometry that defines the boundaries of each ZCTA. This urban dataset is valuable for mapping, spatial analysis, and geocoding applications, allowing users to analyze demographic, economic, or social data at the ZIP code level across different boroughs of New York City.",s3k2-6t4m.geojson
